Reference,Unit_L,Unit_W,Unit_H,Carton_L,Carton_W,Carton_H,Qty_Per_Carton,Description_1,Price,Inner,Material,Price_Type,MOQ
CEFC10000,24.9,20,5.3,60,52,44,384,,3.5,25,,2,
CEFC10001,13.4,17,1.7,62,38,32,576,,2,25,,2,
CEFC10002,24.9,21.6,6.1,60,52,44,384,,3.5,25,,2,
CEFC10003,26.2,17.9,4,60,52,44,384,,3.5,25,,2,
CEFC10004,22.6,19,4.6,82.5,47,27.5,400,,3.5,25,,2,
CEFC10005,22.8,18.7,3,49.6,39.5,39.5,384,,3.5,25,,2,
CEFC10005-1,19.7,16.5,2.2,72,43,54,640,,3,25,,2,
CEFC10006,22.6,21.8,1.8,52,52,42,3,,2,25,,2,
CEFC10007,24,17.1,5.7,49.6,39.5,39.5,,,2.8,25,,2,
CEFC10008,23.8,18.8,5,82.5,47,27.5,,红发鬼脸,2.6,25,,2,
CEFC10009,23.9,21,5,46,50,42,,,3,25,,2,
CEFC10010,25.8,29,4.5,82.5,47,27.5,,,3,25,,2,
CEFC10011,24.6,22.2,5.5,82.5,47,27.5,,,2.8,25,,2,
CEFC10012,16.3,15.5,1.8,46.5,40,53.5,6,,6,25,,2,
CEFC10012-1,16.3,15.5,1.8,46.5,40,53.5,6,,6,25,,2,
CEFC10012-S,22.9,20.2,5.8,49,64,48.5,500,,6,25,,2,
CEFC10013,24.5,19.5,4.4,49,64,48.5,500,女巫婆,3.5,25,,2,
CEFC10014,21.9,19.5,4.7,41,45,63.5,500,,4,25,,2,
CEFC10015,23.1,19.2,5.1,48,42,43,384,,3.8,25,,2,
CEFC10016,26.8,19.9,4.6,60,56,42,384,,4,25,,2,
CEFC10017,25,22.3,3.8,60,56,42,384,,4,25,,2,
CEFC10018,30.5,18.5,7.3,64,46,33,288,,4.5,25,,2,
CEFC10018-1,30.5,18.5,7.3,64,46,33,288,,4.5,25,,2,
CEFC10019,31.5,12.5,10.2,39,31,52,150,,4.5,25,,2,
CEFC10028,23.2,21.5,3.5,60,56,42,384,,4,25,,2,
CEFC10028-1,23.2,21.5,3.5,60,56,42,384,,4,25,,2,
CEFC10029,23.1,19.7,4,60,56,42,384,,4,25,,2,
CEFC10029-1,23.1,19.7,4,60,56,42,384,,4,25,,2,
CEFC10032,31,13.7,10.6,39,31,52,150,,4.5,25,,2,
CEFC10033,24.8,17.7,4.8,82.5,47,27.5,400,吸血鬼面具,4,25,,2,
CEFC10034,17.1,25.8,4.3,50,39,50,600,,3.5,25,,2,
CEFC10035,17,17.6,2.8,81,61,40,600,,3,25,,2,
CEFC10036,12.5,21.3,2.5,81,61,40,600,,3.2,25,,2,
CEFC10037,16.5,22.3,2.5,81,61,40,600,,3.2,25,,2,
CEFC10038,23,17.3,2.5,81,61,40,600,,4.5,25,,2,
CEFC10039,21.2,18.3,3.1,81,61,40,600,,5,25,,2,
CEFC10040,,,,,,,,,3.5,,,2,
CEFC10041,21.5,17,2.3,81,61,40,600,,2.8,25,,2,
CEFC10042,44.3,36.3,3.2,72,58,52,96,,8,25,,2,
CEFC10043,24.6,17.6,6.1,41,45,63.5,500,,3.5,25,,2,
CEFC10044,15.3,19,1.5,81,61,40,600,,3.5,25,,2,
CEFC10071,,,,,,,,,10,,,2,
CEFC10077,,,,,,,,,8.5,,,2,
CEFC10085,,,,,,,,,3.5,,,2,
CEFC10086,,,,,,,,,3,,,2,
CEFC10087,,,,,,,,,3.5,,,2,
CEFC10088,,,,,,,,,3.5,,,2,
CEFC10089,,,,,,,,,3.5,,,2,
CEFC10090,,,,,,,,,3.5,,,2,
CEFC10091,,,,,,,,,6,,,2,
CEFC10092,,,,,,,,,4,,,2,
CEFC10093-1,,,,,,,,,4,,,2,
CEFC10094,,,,,,,,,4,,,2,
CEFC10095,,,,,,,,,4,,,2,
CEFC10096,,,,,,,,,3.5,,,2,
CEFC10109-1,,,,,,,,,3.5,,,2,
CEFC10110-1,,,,,,,,,4.5,,,2,
CEFC10110-2,,,,,,,,,4.5,,,2,
CEFC10110-3,,,,,,,,,4.5,,,2,
CEFC10112,,,,,,,,,3.5,,,2,
CEFC10113,,,,,,,,,3,,,2,
CEFC10114,,,,,,,,,4,,,2,
CEFC10115,,,,,,,,,4,,,2,
CEFC10116,,,,,,,,,4,,,2,
CEFC10117,,,,,,,,,3.5,,,2,
CEFC10118,,,,,,,,,3.5,,,2,
CEFC10119,,,,,,,,,3.5,,,2,
CEFC10120,,,,,,,,,3.5,,,2,
CEFC10121,,,,,,,,,3.5,,,2,
