Reference,Description_1,Unit_L,Unit_W,Unit_H,Test_Peformed,Materials,Price,Description_2,Price_Type,MOQ,Qty_Per_Carton,Carton_L,Carton_W,Carton_H
HP-L001,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L002,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L003,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L003-2,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L004,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,1.99,,1,,,,,
HP-L005,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,1.9,,1,,,,,
HP-L005B,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,1.9,,1,,,,,
HP-L006,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,3.86,,1,,240,30,25,30
HP-L007,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L008,Halloween bracelet,,,,,Alloy/Resin/Plastic/ABS,2.95,,1,,,,,
HP-L009,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,2.98,,1,,120,30,25,25
HP-L010,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L012,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L013,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L015,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L015B,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L015C,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L015D,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L015E,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L016,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L017,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,2.6,,1,,,,,
HP-L018,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L019,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L020,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,10.46,,1,,,,,
HP-L021,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L022,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L024,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L025,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L026,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L028,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L029,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L030,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L031,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L032,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L033,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L033B,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L034,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L035,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L036,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L037,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,1.99,,1,,240,30,20,20
HP-L038,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L039,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L040,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L041,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L041B,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L042,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L042B,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L043,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L044,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L045,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L046,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L047,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L048,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,3.54,,1,,144,25,25,25
HP-L049,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L050,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L051,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L052,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,3.15,,1,,,,,
HP-L053,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L054,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L055,Halloween earring,,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L056,Halloween earring,,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L057,Halloween earring,,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L058,Halloween earring,,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L059,Halloween earring,,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L060,Halloween earring,,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L061,Halloween earring,,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L061B,Halloween earring,,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L061C,Halloween earring,,,,,Alloy/Resin/Plastic/ABS,2.8,,1,,,,,
HP-L062,Halloween bracelet,,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L063,Halloween bracelet,,,,,Alloy/Resin/Plastic/ABS,4.1,,1,,,,,
HP-L064,Halloween bracelet,,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L065,Halloween bracelet,,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L066B,Halloween bracelet,,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L066R,Halloween bracelet,,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L067,Halloween bracelet,,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L068,Halloween crown,,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L069,Halloween handband,,,,,Alloy/Resin/Plastic/ABS,5.1,,1,,,,,
HP-L070,Halloween handband,,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L072,Halloween crown,,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L073,Halloween crown,,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L074,Halloween crown,,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L075,Halloween earring,,,,,Alloy/Resin/Plastic/ABS,3.7,,1,,,,,
HP-L080,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L081,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,4.1,,1,,,,,
HP-L082B,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L082G,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L083,Halloween badge,,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L084,Halloween earring,,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L085,Halloween bracelet,,,,,Alloy/Resin/Plastic/ABS,2.1,,1,,,,,
HP-L086,Halloween bracelet,,,,,Alloy/Resin/Plastic/ABS,4.18,,1,,,,,
HP-L087K,Halloween bracelet,,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L087R,Halloween bracelet,,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L087S,Halloween bracelet,,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L088,Halloween bracelet,,,,,Alloy/Resin/Plastic/ABS,4.1,,1,,,,,
HP-L091,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,4.28,,1,,,,,
HP-L092,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,4.28,,1,,,,,
HP-L094,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L095,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,3.9,,1,,,,,
HP-L096,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L097,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L099,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L100,Halloween badge,,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L101,Halloween crown,,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L102,Halloween crown,,,,,Alloy/Resin/Plastic/ABS,7.8,,1,1500,216,60,40,40
HP-L103,Halloween crown,,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L104,Halloween crown,,,,,Alloy/Resin/Plastic/ABS,7.6,,1,,,,,
HP-L105,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L106,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L108,Halloween badge,,,,,Alloy/Resin/Plastic/ABS,1.8,,1,2200,240,40,30,20
HP-L109,Halloween earring,,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L110,Halloween necklace & earring set,,,,,Alloy/Resin/Plastic/ABS,3.92,,1,,,,,
HP-L111,Halloween crown,,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L112,Halloween bracelet,,,,,Alloy/Resin/Plastic/ABS,3.5,,1,,,,,
HP-L113,Halloween crown,,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L113B,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L114,Halloween bracelet,,,,,Alloy/Resin/Plastic/ABS,12.2,,1,,,,,
HP-L115,Halloween bracelet,,,,,Alloy/Resin/Plastic/ABS,4.8,,1,,,,,
HP-L115S,Halloween bracelet,,,,,Alloy/Resin/Plastic/ABS,4.8,,1,,,,,
HP-L116,Halloween handband,,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L118R,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,2.3,,1,,,,,
HP-L118W,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,2.3,,1,,,,,
HP-L119,Halloween earring,,,,,Alloy/Resin/Plastic/ABS,1.9,,1,,,,,
HP-L1210,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L131011,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L131014,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L13108,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L1312B,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,2.3,,1,,,,,
HP-L1312-C,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,1.95,,1,,,,,
HP-L141014,Halloween bracelet,,,,,Alloy/Resin/Plastic/ABS,2.99,,1,,,,,
HP-L150418,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
