Reference,Description_1,Materials,Test_Performed,PriceU,Price,Price_Type,Package,MOQ,Unit,Qty_Per_Carton,Carton_L,Carton_W,Carton_H,Net_Weight,Unit_L,Unit_W,Unit_H
ZX20G-01,Canival Mask,ps,Y,2.75,17.59,1,1pc/polybag,1000,PCS,48,50,40,15,3.14,25,17,11
ZX20G-02,Canival Mask,ps,Y,2.99,19.16,1,1pc/polybag,1000,PCS,72,50,36,55,7.8,25,17,11
ZX20G-03,Canival Mask,ps,Y,2.32,14.87,1,1pc/polybag,1000,PCS,72,50,36,55,7.8,25,17,11
ZX20G-04,Canival Mask,ps,Y,2.86,14,1,1pc/polybag,1000,PCS,72,50,36,55,7.8,25,17,11
ZX20G-05,Canival Mask,ps,Y,2.1,13.44,1,1pc/polybag,1000,PCS,144,36,36,60,8,20,25,6
ZX20G-06,Canival Mask,ps,Y,1.65,10.58,1,1pc/polybag,1000,PCS,144,36,36,60,8,20,25,6
ZX20G-07,Canival Mask,ps,Y,1.54,9.87,1,1pc/polybag,1000,PCS,144,36,36,60,8,20,25,6
ZX20G-08,Canival Mask,ps,Y,1.77,11.3,1,1pc/polybag,1000,PCS,144,36,36,60,8,22,22,8
ZX20G-09,Canival Mask,ps,Y,1.77,11.3,1,1pc/polybag,1000,PCS,144,36,36,60,8,20,25,6
ZX20G-10,Canival Mask,ps,Y,1.43,9.15,1,1pc/polybag,1000,PCS,144,36,36,60,8,22,22,8
ZX20G-100,Party Mask,ps,Y,1.54,12.8,1,1pc/polybag,1000,PCS,144,36,36,60,8,12,8,5
ZX20G-101,Party Mask,ps,Y,2.1,13.44,1,1pc/polybag,1000,PCS,144,36,36,60,8,20,25,6
ZX20G-102,Party Mask,ps,Y,3.42,22.5,1,1pc/polybag,1000,PCS,72,50,36,55,7.8,25,17,11
ZX20G-103,Party Mask,ps,Y,2.88,18.45,1,1pc/polybag,1000,PCS,72,50,36,55,7.8,20,25,6
ZX20G-104,Party Mask,ps,Y,2.77,17.73,1,1pc/polybag,1000,PCS,144,36,36,60,8,15,9,8
ZX20G-105,Party Mask,ps,Y,2.41,15.44,1,1pc/polybag,1000,PCS,144,36,36,60,8,12,8,5
ZX20G-106,Party Mask,ps,Y,2.77,17.73,1,1pc/polybag,1000,PCS,144,36,36,60,8,20,25,6
ZX20G-107,Party Mask,ps,Y,1.88,12.01,1,1pc/polybag,1000,PCS,144,36,36,60,8,20,25,6
ZX20G-108,Party Mask,ps,Y,2.1,13.44,1,1pc/polybag,1000,PCS,144,36,36,60,8,12,8,5
